date,site,ndvi
2022-03-01,AgricolIlfov,0.3381425410650133
2022-04-01,ParcBucuresti,0.2571189924257607
2022-04-01,UrbanCentral,0.1196139169308585
2022-04-01,AgricolIlfov,0.3957862971404377
2022-05-01,ParcBucuresti,0.431857024028031
2022-05-01,UrbanCentral,0.1961416027972385
2022-05-01,AgricolIlfov,0.5419897650987033
2022-06-01,ParcBucuresti,0.2012437346083211
2022-06-01,UrbanCentral,0.1811145442301307
2022-06-01,AgricolIlfov,0.6228872817247303
2022-07-01,ParcBucuresti,0.324666919929399
2022-07-01,UrbanCentral,0.1757146929464927
2022-07-01,AgricolIlfov,0.42587706411382
2022-08-01,ParcBucuresti,0.35714054282195
2022-08-01,UrbanCentral,0.162686617104856
2022-08-01,AgricolIlfov,0.271138989512986
2022-09-01,ParcBucuresti,0.3531688957767249
2022-09-01,UrbanCentral,0.1723519120903227
2022-09-01,AgricolIlfov,0.2146606941492933
2022-10-01,ParcBucuresti,0.2998047521931017
2022-10-01,UrbanCentral,0.1680392311451821
2022-10-01,AgricolIlfov,0.2385093958376841
2022-11-01,ParcBucuresti,0.2288488992133105
2022-11-01,UrbanCentral,0.0902114430650616
2022-11-01,AgricolIlfov,0.2100781961580591
2022-12-01,ParcBucuresti,0.0734931987770821
2022-12-01,UrbanCentral,0.0904399515881294
2022-12-01,AgricolIlfov,0.3448924104579541
2023-01-01,ParcBucuresti,-0.0134931820561297
2023-01-01,UrbanCentral,-0.0236071313209091
2023-01-01,AgricolIlfov,-0.0055180464609341
2023-02-01,ParcBucuresti,0.1035535591723264
2023-02-01,UrbanCentral,0.0618709875240564
2023-02-01,AgricolIlfov,0.3429249751971384
2023-03-01,ParcBucuresti,0.1857221214326118
2023-03-01,UrbanCentral,0.1130606329009484
2023-03-01,AgricolIlfov,0.6109949299671179
2023-04-01,ParcBucuresti,0.3166128959462227
2023-04-01,UrbanCentral,0.1471084620602282
2023-04-01,AgricolIlfov,0.7008171415762063
2023-05-01,ParcBucuresti,0.3926652705190685
2023-05-01,UrbanCentral,0.1949642555589529
2023-05-01,AgricolIlfov,0.7355917889809926
2023-06-01,ParcBucuresti,0.3831424953825325
2023-06-01,UrbanCentral,0.1831476234485009
2023-06-01,AgricolIlfov,0.3508203039432669
2023-07-01,ParcBucuresti,0.3618119454750762
2023-07-01,UrbanCentral,0.1821062873337227
2023-07-01,AgricolIlfov,0.2654031587822716
2023-08-01,ParcBucuresti,0.3235605458016761
2023-08-01,UrbanCentral,0.1697748227082179
2023-08-01,AgricolIlfov,0.2315060500642562
2023-09-01,ParcBucuresti,0.3199759984466845
2023-09-01,UrbanCentral,0.1569615397776685
2023-09-01,AgricolIlfov,0.2187977113556776
2023-10-01,ParcBucuresti,0.32865239849682
2023-10-01,UrbanCentral,0.168539546139298
2023-10-01,AgricolIlfov,0.2238108437662344
2023-11-01,ParcBucuresti,0.2347136545390222
2023-11-01,UrbanCentral,0.1691109200951546
2023-11-01,AgricolIlfov,0.2752719734553923
2023-12-01,ParcBucuresti,0.1420022910520401
2023-12-01,UrbanCentral,0.0710225564233297
2023-12-01,AgricolIlfov,0.3084867665145591
2024-01-01,ParcBucuresti,0.1047164382917247
2024-01-01,UrbanCentral,0.0675809461458342
2024-01-01,AgricolIlfov,0.3161373076577097
2024-02-01,ParcBucuresti,0.0307714107991407
2024-02-01,UrbanCentral,0.0093340708369447
2024-02-01,AgricolIlfov,0.3031147611126842
2024-03-01,ParcBucuresti,0.1999476213559286
2024-03-01,UrbanCentral,0.0898873760103933
2024-03-01,AgricolIlfov,0.4276794146147231
2024-04-01,ParcBucuresti,0.3336374497612516
2024-04-01,UrbanCentral,0.1669630746155015
2024-04-01,AgricolIlfov,0.4715029212289276
2024-05-01,ParcBucuresti,0.3451640414359392
2024-05-01,UrbanCentral,0.2034118890188426
2024-05-01,AgricolIlfov,0.59292501093217
2024-06-01,ParcBucuresti,0.3707964419360098
2024-06-01,UrbanCentral,0.185406154752702
2024-06-01,AgricolIlfov,0.4341909992269909
2024-07-01,ParcBucuresti,0.3614282804246491
2024-07-01,UrbanCentral,0.169118617322864
2024-07-01,AgricolIlfov,0.2830454455074518
2024-08-01,ParcBucuresti,0.3783264596940542
2024-08-01,UrbanCentral,0.1701469116619637
2024-08-01,AgricolIlfov,0.2732106037474847
2024-09-01,ParcBucuresti,0.3154486971683809
2024-09-01,UrbanCentral,0.1672258500035098
2024-09-01,AgricolIlfov,0.2778529032368154
2024-10-01,ParcBucuresti,0.3362719316803879
2024-10-01,UrbanCentral,0.1629421712468042
2024-10-01,AgricolIlfov,0.4190082589212031
2024-11-01,ParcBucuresti,0.2633729051034742
2024-11-01,UrbanCentral,0.1311104874660338
2024-11-01,AgricolIlfov,0.4816244568005958
