date,roi,value,index
2017-01-01,roi1,0.0006508765686220555,AVI
2017-02-01,roi1,0.0009518204024803161,AVI
2017-03-01,roi1,0.0007586918206957411,AVI
2017-04-01,roi1,0.0007506782139356125,AVI
2017-05-01,roi1,0.0006952556022590069,AVI
2017-06-01,roi1,0.0007004058621551062,AVI
2017-07-01,roi1,0.0007451653163702982,AVI
2017-08-01,roi1,0.0006605432165533189,AVI
2017-09-01,roi1,0.0005844926877802337,AVI
2017-10-01,roi1,0.0005683183421760982,AVI
2017-11-01,roi1,0.0004954964387492986,AVI
2017-12-01,roi1,0.0005200897893368547,AVI
2018-01-01,roi1,0.0005095260969148573,AVI
2018-02-01,roi1,0.00045402360010000497,AVI
2018-03-01,roi1,0.0004786458821369442,AVI
2018-04-01,roi1,0.00041539443602203984,AVI
2018-05-01,roi1,0.0003852135896230147,AVI
2018-06-01,roi1,0.0003770680299555971,AVI
2018-07-01,roi1,0.00044494086561627365,AVI
2018-08-01,roi1,0.0004800183879390214,AVI
2018-09-01,roi1,0.0005404741341136556,AVI
2018-10-01,roi1,0.0007690100928890112,AVI
2018-11-01,roi1,0.0008293573227388577,AVI
2018-12-01,roi1,0.0007735316827563526,AVI
2019-01-01,roi1,0.0007143483053537032,AVI
2019-02-01,roi1,0.0006751141814642168,AVI
2019-03-01,roi1,0.000652728003045209,AVI
2019-04-01,roi1,0.000612110484027543,AVI
2019-05-01,roi1,0.0006625189935134076,AVI
2019-06-01,roi1,0.0007010323141010509,AVI
2019-07-01,roi1,0.0006684744457580709,AVI
2019-08-01,roi1,0.0007032396243573292,AVI
2019-09-01,roi1,0.0005835141826814629,AVI
2019-10-01,roi1,0.0006696792017960044,AVI
2019-11-01,roi1,0.0007132982713958024,AVI
2019-12-01,roi1,0.0005220793912666891,AVI
2020-01-01,roi1,0.0003683564901915316,AVI
2020-02-01,roi1,0.00037221339526662936,AVI
2020-03-01,roi1,-1.2655928558115904e-05,AVI
2020-04-01,roi1,0.00043181902048522463,AVI
2020-05-01,roi1,0.0005228995005394554,AVI
2020-06-01,roi1,0.0005468208242476977,AVI
2020-07-01,roi1,0.0006178336644406994,AVI
2020-08-01,roi1,0.0006554900076169938,AVI
2020-09-01,roi1,0.0007568027951648442,AVI
2020-10-01,roi1,0.0008264100283101555,AVI
2020-11-01,roi1,0.0005605619904407224,AVI
2020-12-01,roi1,0.0007353574123560922,AVI
2021-01-01,roi1,0.0008266113599994965,AVI
2021-02-01,roi1,0.0009518526434470814,AVI
2021-03-01,roi1,0.0006791873379892913,AVI
2021-04-01,roi1,0.0007209624096118548,AVI
2021-05-01,roi1,0.0006961198722547394,AVI
2021-06-01,roi1,0.0008013208153733584,AVI
2021-07-01,roi1,0.0006183113487134409,AVI
2021-08-01,roi1,0.0005278180389972439,AVI
2021-09-01,roi1,0.00035315815506214873,AVI
2021-10-01,roi1,0.00024381895288136613,AVI
2021-11-01,roi1,0.0004593051143650767,AVI
2021-12-01,roi1,0.0005615430268192161,AVI
2022-01-01,roi1,0.000718744834682948,AVI
2022-02-01,roi1,0.0006138067772253297,AVI
2022-03-01,roi1,0.0008040278319946701,AVI
2022-04-01,roi1,0.000693051031377849,AVI
2022-05-01,roi1,0.0006663400840778502,AVI
2022-06-01,roi1,0.0006585984524225589,AVI
2022-07-01,roi1,0.000610661200148023,AVI
2022-08-01,roi1,0.0006357067728782183,AVI
