system:index,date,ndvi,site,.geo
0_0,2019-01-01,0.41634823866636733,Padure,"{""type"":""Polygon"",""coordinates"":[[[25.899977435643187,45.145598321040566],[25.90202664333057,45.14457674935845],[25.902927865559565,45.14534103804536],[25.901694049412722,45.145832901583006],[25.899977435643187,45.145598321040566]]]}"
0_1,2019-01-01,0.28896818632591437,TerenAgricol,"{""type"":""Polygon"",""coordinates"":[[[25.830584480276528,45.082761016158045],[25.83064348887486,45.082228837152044],[25.8323976535706,45.08215118784351],[25.832314505091134,45.08277616708919],[25.830584480276528,45.082761016158045]]]}"
0_2,2019-01-01,0.09749723202951745,Urban,"{""type"":""Polygon"",""coordinates"":[[[26.027189631289758,44.93880700668429],[26.027254004306112,44.93812159618335],[26.02909399969033,44.938186150429935],[26.028876740760122,44.938919025905214],[26.027189631289758,44.93880700668429]]]}"
1_0,2019-02-01,0.3645118201108756,Padure,"{""type"":""Polygon"",""coordinates"":[[[25.899977435643187,45.145598321040566],[25.90202664333057,45.14457674935845],[25.902927865559565,45.14534103804536],[25.901694049412722,45.145832901583006],[25.899977435643187,45.145598321040566]]]}"
1_1,2019-02-01,0.2472709045818471,TerenAgricol,"{""type"":""Polygon"",""coordinates"":[[[25.830584480276528,45.082761016158045],[25.83064348887486,45.082228837152044],[25.8323976535706,45.08215118784351],[25.832314505091134,45.08277616708919],[25.830584480276528,45.082761016158045]]]}"
1_2,2019-02-01,0.10325342355325837,Urban,"{""type"":""Polygon"",""coordinates"":[[[26.027189631289758,44.93880700668429],[26.027254004306112,44.93812159618335],[26.02909399969033,44.938186150429935],[26.028876740760122,44.938919025905214],[26.027189631289758,44.93880700668429]]]}"
2_0,2019-03-01,0.36761160742775,Padure,"{""type"":""Polygon"",""coordinates"":[[[25.899977435643187,45.145598321040566],[25.90202664333057,45.14457674935845],[25.902927865559565,45.14534103804536],[25.901694049412722,45.145832901583006],[25.899977435643187,45.145598321040566]]]}"
2_1,2019-03-01,0.3389745036767223,TerenAgricol,"{""type"":""Polygon"",""coordinates"":[[[25.830584480276528,45.082761016158045],[25.83064348887486,45.082228837152044],[25.8323976535706,45.08215118784351],[25.832314505091134,45.08277616708919],[25.830584480276528,45.082761016158045]]]}"
2_2,2019-03-01,0.10523558141391103,Urban,"{""type"":""Polygon"",""coordinates"":[[[26.027189631289758,44.93880700668429],[26.027254004306112,44.93812159618335],[26.02909399969033,44.938186150429935],[26.028876740760122,44.938919025905214],[26.027189631289758,44.93880700668429]]]}"
3_0,2019-04-01,0.6929676246854871,Padure,"{""type"":""Polygon"",""coordinates"":[[[25.899977435643187,45.145598321040566],[25.90202664333057,45.14457674935845],[25.902927865559565,45.14534103804536],[25.901694049412722,45.145832901583006],[25.899977435643187,45.145598321040566]]]}"
3_1,2019-04-01,0.5677707543485749,TerenAgricol,"{""type"":""Polygon"",""coordinates"":[[[25.830584480276528,45.082761016158045],[25.83064348887486,45.082228837152044],[25.8323976535706,45.08215118784351],[25.832314505091134,45.08277616708919],[25.830584480276528,45.082761016158045]]]}"
3_2,2019-04-01,0.16270584264661572,Urban,"{""type"":""Polygon"",""coordinates"":[[[26.027189631289758,44.93880700668429],[26.027254004306112,44.93812159618335],[26.02909399969033,44.938186150429935],[26.028876740760122,44.938919025905214],[26.027189631289758,44.93880700668429]]]}"
4_0,2019-05-01,0.8497307268745269,Padure,"{""type"":""Polygon"",""coordinates"":[[[25.899977435643187,45.145598321040566],[25.90202664333057,45.14457674935845],[25.902927865559565,45.14534103804536],[25.901694049412722,45.145832901583006],[25.899977435643187,45.145598321040566]]]}"
4_1,2019-05-01,0.792028954823186,TerenAgricol,"{""type"":""Polygon"",""coordinates"":[[[25.830584480276528,45.082761016158045],[25.83064348887486,45.082228837152044],[25.8323976535706,45.08215118784351],[25.832314505091134,45.08277616708919],[25.830584480276528,45.082761016158045]]]}"
4_2,2019-05-01,0.2333595174047832,Urban,"{""type"":""Polygon"",""coordinates"":[[[26.027189631289758,44.93880700668429],[26.027254004306112,44.93812159618335],[26.02909399969033,44.938186150429935],[26.028876740760122,44.938919025905214],[26.027189631289758,44.93880700668429]]]}"
5_0,2019-06-01,0.8933067064613491,Padure,"{""type"":""Polygon"",""coordinates"":[[[25.899977435643187,45.145598321040566],[25.90202664333057,45.14457674935845],[25.902927865559565,45.14534103804536],[25.901694049412722,45.145832901583006],[25.899977435643187,45.145598321040566]]]}"
5_1,2019-06-01,0.7910890612414498,TerenAgricol,"{""type"":""Polygon"",""coordinates"":[[[25.830584480276528,45.082761016158045],[25.83064348887486,45.082228837152044],[25.8323976535706,45.08215118784351],[25.832314505091134,45.08277616708919],[25.830584480276528,45.082761016158045]]]}"
5_2,2019-06-01,0.24565993273256087,Urban,"{""type"":""Polygon"",""coordinates"":[[[26.027189631289758,44.93880700668429],[26.027254004306112,44.93812159618335],[26.02909399969033,44.938186150429935],[26.028876740760122,44.938919025905214],[26.027189631289758,44.93880700668429]]]}"
6_0,2019-07-01,0.8893517462550243,Padure,"{""type"":""Polygon"",""coordinates"":[[[25.899977435643187,45.145598321040566],[25.90202664333057,45.14457674935845],[25.902927865559565,45.14534103804536],[25.901694049412722,45.145832901583006],[25.899977435643187,45.145598321040566]]]}"
6_1,2019-07-01,0.4409791074259076,TerenAgricol,"{""type"":""Polygon"",""coordinates"":[[[25.830584480276528,45.082761016158045],[25.83064348887486,45.082228837152044],[25.8323976535706,45.08215118784351],[25.832314505091134,45.08277616708919],[25.830584480276528,45.082761016158045]]]}"
6_2,2019-07-01,0.2577461997244712,Urban,"{""type"":""Polygon"",""coordinates"":[[[26.027189631289758,44.93880700668429],[26.027254004306112,44.93812159618335],[26.02909399969033,44.938186150429935],[26.028876740760122,44.938919025905214],[26.027189631289758,44.93880700668429]]]}"
7_0,2019-08-01,0.870674674143305,Padure,"{""type"":""Polygon"",""coordinates"":[[[25.899977435643187,45.145598321040566],[25.90202664333057,45.14457674935845],[25.902927865559565,45.14534103804536],[25.901694049412722,45.145832901583006],[25.899977435643187,45.145598321040566]]]}"
7_1,2019-08-01,0.5778336375191455,TerenAgricol,"{""type"":""Polygon"",""coordinates"":[[[25.830584480276528,45.082761016158045],[25.83064348887486,45.082228837152044],[25.8323976535706,45.08215118784351],[25.832314505091134,45.08277616708919],[25.830584480276528,45.082761016158045]]]}"
7_2,2019-08-01,0.2302243456692228,Urban,"{""type"":""Polygon"",""coordinates"":[[[26.027189631289758,44.93880700668429],[26.027254004306112,44.93812159618335],[26.02909399969033,44.938186150429935],[26.028876740760122,44.938919025905214],[26.027189631289758,44.93880700668429]]]}"
8_0,2019-09-01,0.8335260642587174,Padure,"{""type"":""Polygon"",""coordinates"":[[[25.899977435643187,45.145598321040566],[25.90202664333057,45.14457674935845],[25.902927865559565,45.14534103804536],[25.901694049412722,45.145832901583006],[25.899977435643187,45.145598321040566]]]}"
8_1,2019-09-01,0.5541694939436878,TerenAgricol,"{""type"":""Polygon"",""coordinates"":[[[25.830584480276528,45.082761016158045],[25.83064348887486,45.082228837152044],[25.8323976535706,45.08215118784351],[25.832314505091134,45.08277616708919],[25.830584480276528,45.082761016158045]]]}"
